TEAM,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,PPS,AFG%,Wins,Losses
Atlanta,102.5,38.1,81.7,0.466,10,26.2,0.38,16.5,21.2,0.778,1.26,0.527,60,22
Boston,101.4,38.9,87.9,0.443,8,24.6,0.327,15.4,20.5,0.754,1.15,0.489,40,42
Brooklyn,98,37.4,83,0.451,6.6,19.9,0.331,16.6,22.2,0.748,1.18,0.491,38,44
Charlotte,94.2,35.5,84.5,0.42,6.1,19.1,0.318,17,22.8,0.748,1.11,0.456,33,49
Chicago,100.8,36.6,82.9,0.442,7.9,22.3,0.353,19.7,25.2,0.783,1.22,0.489,50,32
Cleveland,103.1,37.7,82.2,0.458,10.1,27.5,0.367,17.7,23.6,0.751,1.25,0.52,53,29
Dallas,105.2,39.7,85.8,0.463,8.9,25.4,0.352,16.9,22.5,0.752,1.23,0.515,50,32
Denver,101.5,37.8,87.3,0.433,8,24.8,0.325,17.8,24.3,0.734,1.16,0.479,30,52
Detroit,98.5,37.1,85.8,0.432,8.6,24.9,0.344,15.8,22.4,0.703,1.15,0.482,32,50
Golden State,110,41.6,87,0.478,10.8,27,0.398,16,20.8,0.768,1.26,0.54,67,15
Houston,103.9,37,83.3,0.444,11.4,32.7,0.348,18.6,26,0.715,1.25,0.512,56,26
Indiana,97.3,36.6,83.2,0.439,7.5,21.2,0.352,16.7,22.2,0.756,1.17,0.484,38,44
LA Clippers,106.7,39.4,83.3,0.473,10.1,26.9,0.376,17.9,25.2,0.71,1.28,0.533,56,26
LA Lakers,98.5,37.2,85.6,0.435,6.5,18.9,0.344,17.5,23.6,0.741,1.15,0.473,21,61
Memphis,98.3,37.8,82.5,0.458,5.2,15.2,0.339,17.6,22.8,0.773,1.19,0.489,55,27
Miami,94.7,35.2,77.2,0.456,6.8,20.2,0.335,17.5,23.7,0.741,1.23,0.5,37,45
Milwaukee,97.8,37.6,82,0.459,6.6,18.3,0.363,16,21.1,0.757,1.19,0.499,41,41
Minnesota,97.8,36.4,83.2,0.438,5,14.9,0.332,20,25.7,0.776,1.18,0.468,16,66
New Orleans,99.4,37.9,82.9,0.457,7.1,19.3,0.37,16.4,21.8,0.751,1.2,0.501,45,37
New York,91.9,35.1,82,0.428,6.8,19.7,0.347,14.8,19.2,0.769,1.12,0.47,17,65
Oklahoma City,104,38.8,86.8,0.447,7.7,22.7,0.339,18.6,24.6,0.754,1.2,0.492,45,37
Orlando,95.7,37.5,82.8,0.453,6.8,19.5,0.347,13.9,19.1,0.729,1.16,0.494,25,57
Philadelphia,92,33.7,82.6,0.408,8.4,26.3,0.32,16.1,23.8,0.676,1.11,0.459,18,64
Phoenix,102.4,38.8,85.8,0.452,8.5,25,0.341,16.4,21.5,0.76,1.19,0.501,39,43
Portland,102.8,38.7,86,0.45,9.8,27.2,0.362,15.5,19.4,0.801,1.2,0.508,51,31
Sacramento,101.3,36.7,80.7,0.455,5.6,16.5,0.341,22.3,29.3,0.762,1.26,0.49,29,53
San Antonio,103.2,39.1,83.6,0.468,8.3,22.5,0.367,16.7,21.4,0.78,1.23,0.517,55,27
Toronto,104,37.9,83.3,0.455,8.9,25.1,0.352,19.3,24.6,0.787,1.25,0.508,49,33
Utah,95.1,35.4,79.2,0.447,7.4,21.7,0.343,17,23.5,0.721,1.2,0.494,38,44
Washington,98.5,38.3,82.8,0.462,6.1,16.8,0.36,15.9,21.4,0.742,1.19,0.499,46,36
